Nome_do_bairro,Cod_setor,TOTAL_FAIXA_ETARIA,ABAIXO1ANO,1A9ANOS,10A19ANOS,20A29ANOS,30A39ANOS,40A49ANOS,50A59ANOS,ACIMA60ANOS,Cod_setor,ATEMEIOSALARIO,DEMEIOA1SALARIO,DE1A2SALARIOS,DE2A3SALARIOS,DE3A5SALARIOS,DE5A10SALARIOS,DE10A15SALARIOS,DE15A20SALARIOS,MAISDE20SALARIOS,SEMSALARIO,TOTAL_SALARIOS,PRACAS,PARQUES,EMPRESAS OUTROS GROUPOS,EMPRESAS PEQUENO PORTE
Aarão Reis,1553100303300977,2962,31,301,463,521,528,387,346,385,1553100303300977,44,653,657,229,156,82,10,2,3,794,2962,3.0,0.0,29.0,10.0
Acaba Mundo,310620005620143,1173,27,237,275,213,185,115,71,50,310620005620143,35,427,156,3,2,1,0,0,0,285,1173,0.0,0.0,4.0,0.0
Acaiaca,1242480242560419,2565,37,318,415,554,373,407,276,185,1242480242560419,27,459,567,219,158,54,5,1,1,719,2565,0.0,0.0,7.0,8.0
Ademar Maldonado,1242480102440642,1803,7,162,205,298,326,238,220,347,1242480102440642,11,223,392,219,204,124,21,6,2,432,1803,2.0,0.0,9.0,6.0
Aeroporto,931860017040198,1325,5,131,151,335,228,183,118,174,931860017040198,4,143,213,117,156,188,27,25,13,303,1325,2.0,0.0,124.0,54.0
Aguas Claras,931860076830924,2023,31,307,528,333,287,285,148,104,931860076830924,56,458,406,56,13,3,1,0,0,692,2023,1.0,0.0,2.0,0.0
Alpes,2174340039692129,2197,36,306,367,446,381,262,152,124,2174340039692129,42,427,538,96,63,25,4,2,0,535,2197,0.0,0.0,146.0,62.0
Alta Tensão 1ª Seção,621240051220755,397,4,59,77,62,70,51,38,36,621240051220755,7,112,67,17,5,1,0,0,0,125,397,0.0,0.0,0.0,0.0
Alta Tensão 2ª Seção,1553100128051757,2010,46,313,406,395,350,222,171,107,1553100128051757,48,377,539,81,28,3,0,0,0,575,2010,0.0,0.0,0.0,0.0
Alto Barroca,2174340039691782,5213,32,313,492,1078,748,727,810,1013,2174340039691782,23,421,661,483,750,910,217,148,97,1158,5213,2.0,0.0,199.0,60.0
Alto Caiçaras,3416820062152898,7411,77,572,964,1370,1161,1127,1022,1118,3416820062152898,46,915,1357,730,770,818,171,114,61,1780,7411,1.0,1.0,111.0,44.0
Alto Vera Cruz,9629220174535656,21459,387,2972,4147,4036,3320,2757,1775,2065,9629220174535656,548,5434,4480,937,470,241,33,36,29,5892,21459,4.0,1.0,51.0,9.0
Alto das Antenas,310620025610206,384,15,79,92,58,59,53,17,11,310620025610206,9,72,45,5,3,0,0,0,0,156,384,0.0,0.0,0.0,0.0
Alto dos Pinheiros,1242480022600955,3191,35,324,477,618,463,557,363,354,1242480022600955,39,511,581,275,294,216,41,23,9,843,3191,1.0,0.0,43.0,23.0
Alípio de Melo,4348680079104129,9530,66,679,1107,1535,1475,1302,1192,2174,4348680079104129,43,1073,1739,1059,1141,942,194,97,62,2435,9530,4.0,1.0,125.0,62.0
Ambrosina,621240011340519,800,4,120,165,137,111,120,71,72,621240011340519,23,263,124,31,9,6,0,0,0,220,800,2.0,0.0,0.0,3.0
Anchieta,6833640123644642,12740,90,818,1132,2302,1941,1738,1901,2818,6833640123644642,26,455,1003,742,1284,2404,868,984,1079,2987,12740,2.0,1.0,729.0,140.0
Andiroba,310620005640143,791,12,101,165,140,106,109,81,77,310620005640143,3,277,89,18,11,3,1,2,0,274,791,0.0,0.0,2.0,0.0
Antonio Ribeiro de Abreu 1ª Seção,931860181920516,484,9,86,96,92,72,65,35,29,931860181920516,25,94,105,18,8,1,0,0,0,138,484,1.0,0.0,0.0,0.0
Aparecida,4969920090405648,9830,100,927,1374,1773,1460,1455,1228,1513,4969920090405648,132,1934,2280,815,648,395,54,33,15,2497,9830,2.0,0.0,93.0,27.0
Aparecida 7ª Seção,3106200056503496,4917,57,490,773,953,739,729,565,611,3106200056503496,48,1114,1198,333,234,121,12,5,3,1302,4917,0.0,0.0,34.0,11.0
Apolonia,4348680849663352,6568,134,1085,1354,1319,1049,693,528,406,4348680849663352,355,1719,1083,151,57,10,2,1,0,1971,6568,0.0,0.0,8.0,0.0
